city,outcome,window,expo,n,ndonor,beta,se,ci_l,ci_u,p,sig,q
Chongqing,volume,w0_9,anyhw3,20358,10444,0.01990388683070929,0.025888913710306723,-0.03083838404149189,0.07064615770291047,0.44200081197576435,,0.57340645877937
Chongqing,pr_post,w70_90,hwp95,8096,2761,0.0042677801698510175,0.00582651262943546,-0.007152184583842484,0.01568774492354452,0.46387813799495425,,0.5977490100337665
Chongqing,tsc,w0_9,hwp95,20371,10451,0.004501906804951783,0.00615963424949768,-0.007570976324063669,0.016574789933967236,0.46485708205598997,,0.5950170650316672
Chongqing,pr_post,w15_69,hw3,8143,2764,-0.0011829722104658923,0.0016688357547492336,-0.0044538902897743905,0.0020879458688426054,0.4784108771787956,,0.6083105193266805
Wuhan,pr_post,w0_90,hwp95,15544,3267,-0.002148100381963601,0.0030406187764618585,-0.008107713183828844,0.003811512419901641,0.47989704051420556,,0.6061857353863649
Wuhan,pr_pre,w0_90,anyhw3,32998,9664,-0.014035193969248854,0.020588574663169205,-0.0543888003090605,0.026318412370562788,0.4954298156897896,,0.6217158471401282
Chongqing,tsc,w15_69,hwp95,20503,10506,0.0017952785834177436,0.002689712761546882,-0.0034765584292141445,0.007067115596049632,0.5044776623217686,,0.628959163414153
Chongqing,pr_post,w0_90,hw3,8143,2764,-0.000911883136953984,0.0013867803243286813,-0.0036299725726381994,0.0018062062987302312,0.5108246742510045,,0.6327634674593088
Wuhan,pr_pre,w70_90,tmax,34732,10096,-0.0011055277199377893,0.0016968237451116719,-0.004431302260356667,0.0022202468204810875,0.5147058837921946,,0.6334841646673164
Wuhan,volume,w0_90,tmax,32956,9651,0.0012719471230163233,0.0019645720262250967,-0.0025786140483848663,0.0051225082944175125,0.5173456964703864,,0.6326775396325744
Chongqing,volume,w15_69,anyhw3,20490,10499,0.016966906478688787,0.026843565690577338,-0.035646482274842795,0.06958029523222037,0.5273437197057308,,0.6408227479968375
Chongqing,survival_post,w0_9,tmax,5836,1606,-0.0019922691711530657,0.0032361415930975473,-0.008335106693624259,0.0043505683513181265,0.5381380689637831,,0.6498271021449457
