city,outcome,window,expo,n_full,base_full_beta,base_full_se,base_full_p,n_sub,base_sub_beta,base_sub_se,base_sub_p,adj_beta,adj_se,adj_p,label
Chongqing,sc_post,w70_90,anyhw3,8096,-0.0231,0.0451,0.6091092703456444,8096.0,-0.0231,0.0451,0.6091092703456444,0.0306,0.0522,0.5575420229210213,null_base
Chongqing,sc_post,w70_90,hwp95,8096,0.0095,0.0064,0.13886313728565225,8096.0,0.0095,0.0064,0.13886313728565225,0.0133,0.0065,0.04110749168103586,null_base
Chongqing,sc_post,w0_90,tmax,8143,-0.006,0.0035,0.08184458477268078,8143.0,-0.006,0.0035,0.08184458477268078,0.0296,0.01,0.003118030613043968,null_base
Chongqing,sc_post,w0_90,anyhw3,8143,0.0242,0.0359,0.5003186907699899,8143.0,0.0242,0.0359,0.5003186907699899,0.1472,0.0403,0.00025846272978397456,null_base
Chongqing,sc_post,w0_90,hwp95,8143,0.0004,0.0029,0.8939767492154691,8143.0,0.0004,0.0029,0.8939767492154691,0.0032,0.0034,0.33751250458700166,null_base
Chongqing,pr_post,w70_90,tmax,8096,0.0011,0.003,0.7226566986093127,8096.0,0.0011,0.003,0.7226566986093127,-0.0024,0.0066,0.7121152159725708,null_base
Chongqing,pr_post,w70_90,anyhw3,8096,-0.0842,0.0449,0.06084742292276021,8096.0,-0.0842,0.0449,0.06084742292276021,-0.0655,0.0543,0.22746772537934634,null_base
Chongqing,pr_post,w70_90,hwp95,8096,0.0043,0.0058,0.4638781379949529,8096.0,0.0043,0.0058,0.4638781379949529,0.0065,0.0059,0.274568113430845,null_base
Chongqing,pr_post,w0_90,tmax,8143,0.0049,0.0034,0.15545978494421372,8143.0,0.0049,0.0034,0.15545978494421372,0.0174,0.0102,0.08974539847557116,null_base
Chongqing,pr_post,w0_90,anyhw3,8143,-0.092,0.0356,0.009717697163458473,8143.0,-0.092,0.0356,0.009717697163458473,-0.0262,0.0398,0.5107172402075177,attenuated_by_pollution
Chongqing,pr_post,w0_90,hwp95,8143,-0.0059,0.0028,0.036530629173133024,8143.0,-0.0059,0.0028,0.036530629173133024,0.0012,0.0033,0.7285611333064731,attenuated_by_pollution
Chongqing,np_post,w70_90,tmax,8096,-0.0024,0.0024,0.31790102546542753,8096.0,-0.0024,0.0024,0.31790102546542753,-0.0045,0.0045,0.3123585567060101,null_base
Chongqing,np_post,w70_90,anyhw3,8096,-0.1564,0.0359,1.3168724080788494e-05,8096.0,-0.1564,0.0359,1.3168724080788494e-05,-0.1047,0.0407,0.010191774053650796,ROBUST_to_pollution
Chongqing,np_post,w70_90,hwp95,8096,-0.0022,0.0041,0.6018777149919164,8096.0,-0.0022,0.0041,0.6018777149919164,0.0018,0.0042,0.6718775440702407,null_base
Chongqing,np_post,w0_90,tmax,8143,0.0074,0.0028,0.007623551611739644,8143.0,0.0074,0.0028,0.007623551611739644,-0.0339,0.007,1.201886176666811e-06,mixed
Chongqing,np_post,w0_90,anyhw3,8143,-0.0707,0.0296,0.016916049390084575,8143.0,-0.0707,0.0296,0.016916049390084575,-0.1816,0.0329,3.4622603504107305e-08,ROBUST_to_pollution
Chongqing,np_post,w0_90,hwp95,8143,0.0111,0.002,1.3488687980161973e-08,8143.0,0.0111,0.002,1.3488687980161973e-08,0.0095,0.0022,1.583649455202646e-05,ROBUST_to_pollution
Chongqing,survival_post,w70_90,tmax,5830,-0.0214,0.0034,2.762705478754019e-10,5830.0,-0.0214,0.0034,2.762705478754019e-10,-0.0131,0.0063,0.038517353336382135,ROBUST_to_pollution
Chongqing,survival_post,w70_90,anyhw3,5830,-0.4593,0.0559,2.007995979262947e-16,5830.0,-0.4593,0.0559,2.007995979262947e-16,-0.3131,0.0612,3.1182002426760955e-07,ROBUST_to_pollution
Chongqing,survival_post,w70_90,hwp95,5830,-0.0105,0.0045,0.0204861276127414,5830.0,-0.0105,0.0045,0.0204861276127414,0.0031,0.0047,0.512748841956779,attenuated_by_pollution
Chongqing,survival_post,w0_90,tmax,5869,-0.0173,0.0036,2.0999631002278622e-06,5869.0,-0.0173,0.0036,2.0999631002278622e-06,0.0514,0.0101,3.3489607222758495e-07,mixed
Chongqing,survival_post,w0_90,anyhw3,5869,-0.3366,0.0403,7.242088654016253e-17,5869.0,-0.3366,0.0403,7.242088654016253e-17,-0.0031,0.0388,0.9368560244614412,attenuated_by_pollution
Chongqing,survival_post,w0_90,hwp95,5869,-0.0051,0.0024,0.03145096944046295,5869.0,-0.0051,0.0024,0.03145096944046295,0.0129,0.0028,5.364608512335811e-06,mixed
Wenzhou,sc_pre,w70_90,tmax,7365,-0.0062,0.0036,0.08867721678994965,7365.0,-0.0062,0.0036,0.08867721678994965,-0.0008,0.0049,0.8700941184230147,null_base
Wenzhou,sc_pre,w70_90,anyhw3,7365,-0.1618,0.08,0.042946048166650076,7365.0,-0.1618,0.08,0.042946048166650076,-0.1687,0.0801,0.0352072703445767,ROBUST_to_pollution
Wenzhou,sc_pre,w70_90,hwp95,7365,0.0013,0.0172,0.939136457936673,7365.0,0.0013,0.0172,0.939136457936673,0.0013,0.0172,0.9380423585631226,null_base
Wenzhou,sc_pre,w0_90,tmax,7040,-0.0049,0.0043,0.2548292635395043,7040.0,-0.0049,0.0043,0.2548292635395043,0.0171,0.0098,0.08249542221407972,null_base
Wenzhou,sc_pre,w0_90,anyhw3,7040,0.1249,0.0517,0.015704453556846767,7040.0,0.1249,0.0517,0.015704453556846767,0.1384,0.0556,0.012853504257533553,ROBUST_to_pollution
Wenzhou,sc_pre,w0_90,hwp95,7040,0.0211,0.0079,0.007727889492049852,7040.0,0.0211,0.0079,0.007727889492049852,0.0312,0.0104,0.002680106105084645,ROBUST_to_pollution
Wenzhou,tsc,w70_90,tmax,7409,-0.0069,0.0036,0.05757182316070115,7409.0,-0.0069,0.0036,0.05757182316070115,-0.0026,0.0048,0.5929979926417113,null_base
Wenzhou,tsc,w70_90,anyhw3,7409,0.0206,0.0888,0.8162271537741732,7409.0,0.0206,0.0888,0.8162271537741732,0.0176,0.0889,0.8425625706542444,null_base
Wenzhou,tsc,w70_90,hwp95,7409,0.0143,0.0171,0.4046897164059454,7409.0,0.0143,0.0171,0.4046897164059454,0.0137,0.0172,0.42623831402910195,null_base
Wenzhou,tsc,w0_90,tmax,7080,-0.0047,0.0043,0.2760759951730587,7080.0,-0.0047,0.0043,0.2760759951730587,0.0011,0.0098,0.9140575726017065,null_base
Wenzhou,tsc,w0_90,anyhw3,7080,0.2349,0.0536,1.1919126584869787e-05,7080.0,0.2349,0.0536,1.1919126584869787e-05,0.2418,0.0573,2.442804297403234e-05,ROBUST_to_pollution
Wenzhou,tsc,w0_90,hwp95,7080,0.0362,0.008,6.678357265310762e-06,7080.0,0.0362,0.008,6.678357265310762e-06,0.0474,0.0105,6.630400194886559e-06,ROBUST_to_pollution
Wenzhou,pr_pre,w70_90,tmax,7407,-0.0013,0.0036,0.7181609820732653,7407.0,-0.0013,0.0036,0.7181609820732653,0.0015,0.0049,0.75595229414935,null_base
Wenzhou,pr_pre,w70_90,anyhw3,7407,-0.2091,0.0848,0.013655235446595224,7407.0,-0.2091,0.0848,0.013655235446595224,-0.2197,0.0849,0.009639023998984973,ROBUST_to_pollution
Wenzhou,pr_pre,w70_90,hwp95,7407,-0.0643,0.0164,8.949061836702021e-05,7407.0,-0.0643,0.0164,8.949061836702021e-05,-0.0627,0.0165,0.00013847741879532258,ROBUST_to_pollution
Wenzhou,pr_pre,w0_90,tmax,7078,-0.0049,0.0043,0.2608874860451611,7078.0,-0.0049,0.0043,0.2608874860451611,0.0136,0.0094,0.14734839398725338,null_base
Wenzhou,pr_pre,w0_90,anyhw3,7078,-0.1787,0.0489,0.00025745412762772995,7078.0,-0.1787,0.0489,0.00025745412762772995,-0.1499,0.0529,0.004597855410634676,ROBUST_to_pollution
Wenzhou,pr_pre,w0_90,hwp95,7078,-0.0529,0.0076,4.641606080243251e-12,7078.0,-0.0529,0.0076,4.641606080243251e-12,-0.0658,0.0101,6.00524630532388e-11,ROBUST_to_pollution
Wenzhou,volume,w70_90,tmax,7409,-0.001,0.0036,0.7758175562386911,7409.0,-0.001,0.0036,0.7758175562386911,0.0006,0.0049,0.9007975249603335,null_base
Wenzhou,volume,w70_90,anyhw3,7409,0.183,0.0793,0.02108772810385867,7409.0,0.183,0.0793,0.02108772810385867,0.1864,0.0794,0.018883420462672447,ROBUST_to_pollution
Wenzhou,volume,w70_90,hwp95,7409,0.017,0.0163,0.29536527000612645,7409.0,0.017,0.0163,0.29536527000612645,0.0161,0.0163,0.32301273699272537,null_base
Wenzhou,volume,w0_90,tmax,7080,-0.0001,0.0044,0.9814517339684574,7080.0,-0.0001,0.0044,0.9814517339684574,-0.0136,0.0097,0.16143816829685953,null_base
Wenzhou,volume,w0_90,anyhw3,7080,0.1186,0.0477,0.012916355578895696,7080.0,0.1186,0.0477,0.012916355578895696,0.1,0.0525,0.056707201969741126,attenuated_by_pollution
Wenzhou,volume,w0_90,hwp95,7080,0.021,0.0075,0.005108622811405058,7080.0,0.021,0.0075,0.005108622811405058,0.0205,0.01,0.04152729753606653,ROBUST_to_pollution
