city,outcome,window,hi_beta,hi_p,tmax_base_beta,tmax_base_p,tmax_rhadj_beta,tmax_rhadj_p,n
Wuhan,sc_pre,w70_90,-0.0084,1.348149788855598e-09,-0.0121,1.0240274790394551e-12,-0.0101,2.7150445430489833e-09,35424
Wuhan,tsc,w70_90,-0.0063,1.0565107871735622e-05,-0.0077,6.512562911803095e-06,-0.0061,0.0004014557172627391,34709
Wuhan,pr_post,w70_90,-0.0177,5.418788240982311e-18,-0.0163,3.652475844974643e-12,-0.0171,2.921397826993728e-13,16709
Chongqing,pr_pre,w70_90,-0.0005,0.7465796780175076,0.0005,0.809130537324032,-0.0021,0.38977358334157897,20384
Chongqing,survival_post,w70_90,-0.0201,1.4465351169639452e-10,-0.0214,2.762705478754019e-10,-0.0319,5.2797945494001384e-12,5830
Wenzhou,pr_pre,w70_90,0.0005,0.8483093248537766,-0.0013,0.7181609820732653,0.0017,0.6546460773507602,7407
