city,outcome,window,family,metric,beta,se,p,n
Chongqing,pr_pre,w70_90,threshold,htp90,-0.0062,0.003,0.03726459148054263,20384
Chongqing,pr_pre,w70_90,threshold,htp95,-0.008,0.0039,0.0404836077508871,20384
Chongqing,pr_pre,w70_90,duration,hw2,-0.006,0.0024,0.012877300659329393,20384
Chongqing,pr_pre,w70_90,duration,hw3,-0.0054,0.0022,0.016731130977166053,20384
Chongqing,pr_pre,w70_90,duration,hw4,-0.0052,0.0024,0.028845552320484722,20384
Chongqing,pr_pre,w70_90,duration,hwp95,-0.0111,0.004,0.00613957703992028,20384
Chongqing,pr_pre,w0_90,threshold,ht30,-0.0001,0.0006,0.8853197325363937,20503
Chongqing,pr_pre,w0_90,threshold,ht32,-0.0006,0.0007,0.38562071692555666,20503
Chongqing,pr_pre,w0_90,threshold,ht35,-0.0009,0.0008,0.23502263604431217,20503
Chongqing,pr_pre,w0_90,threshold,htp90,-0.0015,0.0011,0.1645765426894742,20503
Chongqing,pr_pre,w0_90,threshold,htp95,-0.0037,0.0018,0.03405996081203733,20503
Chongqing,pr_pre,w0_90,duration,hw2,-0.0009,0.0008,0.2425237903070282,20503
Chongqing,pr_pre,w0_90,duration,hw3,-0.0013,0.0009,0.12763626915548243,20503
Chongqing,pr_pre,w0_90,duration,hw4,-0.001,0.0009,0.2745677951135681,20503
Chongqing,pr_pre,w0_90,duration,hwp95,-0.0055,0.0019,0.003137600106469458,20503
Chongqing,np_post,w70_90,threshold,ht30,-0.0062,0.0028,0.026946463039268204,8096
Chongqing,np_post,w70_90,threshold,ht32,-0.0109,0.0027,5.4045073820766654e-05,8096
Chongqing,np_post,w70_90,threshold,ht35,-0.0091,0.0025,0.0003061908199775116,8096
Chongqing,np_post,w70_90,threshold,htp90,-0.0033,0.0029,0.2569272774225363,8096
Chongqing,np_post,w70_90,threshold,htp95,-0.004,0.004,0.313487482235388,8096
Chongqing,np_post,w70_90,duration,hw2,-0.0083,0.0025,0.0007484921211726516,8096
Chongqing,np_post,w70_90,duration,hw3,-0.0059,0.0023,0.009305601382304147,8096
Chongqing,np_post,w70_90,duration,hw4,-0.0056,0.0023,0.01344565389713491,8096
Chongqing,np_post,w70_90,duration,hwp95,-0.0022,0.0041,0.6018777149919164,8096
Chongqing,np_post,w0_90,threshold,ht30,0.0046,0.0007,1.1299971100157818e-10,8143
Chongqing,np_post,w0_90,threshold,ht32,0.0044,0.0008,3.576853873099762e-08,8143
Chongqing,np_post,w0_90,threshold,ht35,0.0049,0.0009,1.4920774348430754e-08,8143
Chongqing,np_post,w0_90,threshold,htp90,0.0066,0.0011,6.144524780864314e-09,8143
Chongqing,np_post,w0_90,threshold,htp95,0.0103,0.0018,1.7099040759362062e-08,8143
Chongqing,np_post,w0_90,duration,hw2,0.0051,0.0009,4.9570539347578026e-09,8143
Chongqing,np_post,w0_90,duration,hw3,0.0057,0.0009,7.641236919984055e-10,8143
Chongqing,np_post,w0_90,duration,hw4,0.0059,0.0009,3.3504202005023733e-10,8143
Chongqing,np_post,w0_90,duration,hwp95,0.0111,0.002,1.3488687980161973e-08,8143
Chongqing,survival_post,w70_90,threshold,ht30,-0.0277,0.0043,7.795951434163606e-11,5830
Chongqing,survival_post,w70_90,threshold,ht32,-0.0128,0.004,0.0015619304415254503,5830
Chongqing,survival_post,w70_90,threshold,ht35,-0.007,0.0038,0.06415706947000675,5830
Chongqing,survival_post,w70_90,threshold,htp90,0.0024,0.0039,0.5311364043126565,5830
Chongqing,survival_post,w70_90,threshold,htp95,-0.0033,0.0043,0.44906460148822125,5830
Chongqing,survival_post,w70_90,duration,hw2,-0.0082,0.0037,0.026676868982184514,5830
Chongqing,survival_post,w70_90,duration,hw3,-0.0084,0.0033,0.011046720353932653,5830
Chongqing,survival_post,w70_90,duration,hw4,-0.0068,0.0033,0.03820701867261685,5830
Chongqing,survival_post,w70_90,duration,hwp95,-0.0105,0.0045,0.0204861276127414,5830
Chongqing,survival_post,w0_90,threshold,ht30,-0.0055,0.0009,2.7155517303693405e-09,5869
Chongqing,survival_post,w0_90,threshold,ht32,-0.0024,0.001,0.013950060718855526,5869
Chongqing,survival_post,w0_90,threshold,ht35,-0.0008,0.0011,0.4689241165145185,5869
Chongqing,survival_post,w0_90,threshold,htp90,0.0011,0.0014,0.4297142977621303,5869
Chongqing,survival_post,w0_90,threshold,htp95,0.0,0.0023,0.9871335147592127,5869
Chongqing,survival_post,w0_90,duration,hw2,-0.0014,0.001,0.19153004967147713,5869
Chongqing,survival_post,w0_90,duration,hw3,-0.0027,0.0011,0.01721962997858952,5869
Chongqing,survival_post,w0_90,duration,hw4,-0.0015,0.0012,0.22256192203175018,5869
Chongqing,survival_post,w0_90,duration,hwp95,-0.0051,0.0024,0.03145096944046295,5869
Wenzhou,pr_pre,w70_90,threshold,ht30,0.0112,0.0045,0.013082720384207876,7407
Wenzhou,pr_pre,w70_90,threshold,ht32,0.0022,0.0046,0.6288979113831152,7407
Wenzhou,pr_pre,w70_90,threshold,ht35,0.0098,0.0152,0.5197582763824038,7407
Wenzhou,pr_pre,w70_90,threshold,htp90,0.0104,0.0081,0.19914428504782,7407
Wenzhou,pr_pre,w70_90,threshold,htp95,-0.0069,0.0125,0.5787234782204647,7407
Wenzhou,pr_pre,w70_90,duration,hw2,0.0081,0.0219,0.7102272288723293,7407
Wenzhou,pr_pre,w70_90,duration,hw3,-0.0698,0.0289,0.015560863896966644,7407
Wenzhou,pr_pre,w70_90,duration,hwp95,-0.0643,0.0164,8.949061836702021e-05,7407
Wenzhou,pr_pre,w0_90,threshold,ht30,0.0014,0.0009,0.1341940943796235,7078
Wenzhou,pr_pre,w0_90,threshold,ht32,0.001,0.0012,0.3790566204689483,7078
Wenzhou,pr_pre,w0_90,threshold,ht35,0.0155,0.0068,0.02282415193008711,7078
Wenzhou,pr_pre,w0_90,threshold,htp90,0.006,0.0027,0.023775849283816916,7078
Wenzhou,pr_pre,w0_90,threshold,htp95,-0.0002,0.0046,0.9708125250622198,7078
Wenzhou,pr_pre,w0_90,duration,hw2,0.0366,0.0123,0.0029274611457595443,7078
Wenzhou,pr_pre,w0_90,duration,hw3,-0.0594,0.0164,0.00028908150902264045,7078
Wenzhou,pr_pre,w0_90,duration,hwp95,-0.0529,0.0076,4.641606080243251e-12,7078
