cohort,outcome,outcome_label,native_unit,exposure_metric,exposure_window,n_confirmatory_model,n_donors_confirmatory_model,n_locked_sample_for_SD,analysis_sample_sd,analysis_sample_median,beta_sd_units,ci_low_sd_units,ci_high_sd_units,effect_native_units,ci_low_native_units,ci_high_native_units,percent_of_median,p_value,q_value_bh
Wuhan,pr_pre,Pre-freezing progressive motility,percentage points,tmax,w15_69,16621,2688,17268,3.19,62.0,0.0044,-0.0,0.0089,0.014,-0.0,0.028,0.02,0.0518599259344611,0.1139457527574076
Wuhan,pr_pre,Pre-freezing progressive motility,percentage points,hwp95,w15_69,16621,2688,17268,3.19,62.0,-0.0666,-0.1536,0.0204,-0.213,-0.49,0.065,-0.34,0.1333101801893024,0.2310709789947908
Wuhan,pr_pre,Pre-freezing progressive motility,percentage points,tmax,w70_90,16621,2688,17268,3.19,62.0,0.0024,-0.0024,0.0072,0.008,-0.008,0.023,0.01,0.3251926087194207,0.4489384686745984
Wuhan,pr_pre,Pre-freezing progressive motility,percentage points,hwp95,w70_90,16621,2688,17268,3.19,62.0,-0.044,-0.1457,0.0578,-0.14,-0.465,0.184,-0.23,0.3970310062925659,0.5076789916527892
Wuhan,pr_pre,Pre-freezing progressive motility,percentage points,anyhw3,w70_90,16621,2688,17268,3.19,62.0,0.0154,-0.0546,0.0854,0.049,-0.174,0.273,0.08,0.6663687257730737,0.7425251515757108
Wuhan,sc_pre,Pre-freezing sperm concentration,x10^6/mL,tmax,w0_9,16621,2688,17268,7.52,64.0,-0.0103,-0.0159,-0.0047,-0.078,-0.12,-0.036,-0.12,0.0002872322476457,0.0010668626341128
Wuhan,sc_pre,Pre-freezing sperm concentration,x10^6/mL,hwp95,w0_9,16621,2688,17268,7.52,64.0,0.0098,-0.1503,0.17,0.074,-1.131,1.279,0.12,0.9042284650642292,0.9467089969799984
Wuhan,sc_pre,Pre-freezing sperm concentration,x10^6/mL,anyhw3,w0_9,16621,2688,17268,7.52,64.0,-0.0005,-0.0979,0.097,-0.003,-0.736,0.729,-0.01,0.9925689509724024,0.9925689509724024
Wuhan,sc_pre,Pre-freezing sperm concentration,x10^6/mL,tmax,w0_90,16621,2688,17268,7.52,64.0,-0.0186,-0.0249,-0.0123,-0.14,-0.188,-0.092,-0.22,8.53726592228603e-09,9.512953456261577e-08
Wuhan,sc_pre,Pre-freezing sperm concentration,x10^6/mL,hwp95,w0_90,16621,2688,17268,7.52,64.0,-0.2404,-0.3371,-0.1436,-1.808,-2.536,-1.08,-2.83,1.116840944131227e-06,8.476971964204934e-06
Wuhan,sc_pre,Pre-freezing sperm concentration,x10^6/mL,anyhw3,w0_90,16621,2688,17268,7.52,64.0,-0.0409,-0.1008,0.019,-0.308,-0.758,0.143,-0.48,0.1804086217515655,0.2931640103462941
Wuhan,sc_pre,Pre-freezing sperm concentration,x10^6/mL,tmax,w15_69,16621,2688,17268,7.52,64.0,-0.0165,-0.0221,-0.0109,-0.124,-0.166,-0.082,-0.19,8.386145666688037e-09,9.512953456261577e-08
Wuhan,sc_pre,Pre-freezing sperm concentration,x10^6/mL,hwp95,w15_69,16621,2688,17268,7.52,64.0,-0.1857,-0.2911,-0.0802,-1.396,-2.19,-0.603,-2.18,0.0005597684641774,0.0020307879165509
Wuhan,sc_pre,Pre-freezing sperm concentration,x10^6/mL,anyhw3,w15_69,16621,2688,17268,7.52,64.0,-0.0524,-0.1139,0.0091,-0.394,-0.856,0.068,-0.62,0.0948249502336741,0.1761034790053948
Wuhan,sc_pre,Pre-freezing sperm concentration,x10^6/mL,hwp95,w70_90,16621,2688,17268,7.52,64.0,-0.3032,-0.3973,-0.209,-2.28,-2.989,-1.572,-3.56,2.7700750647526185e-10,4.321317101014085e-09
Wuhan,sc_pre,Pre-freezing sperm concentration,x10^6/mL,tmax,w70_90,16621,2688,17268,7.52,64.0,-0.0147,-0.0199,-0.0095,-0.111,-0.15,-0.071,-0.17,3.0267772518920465e-08,3.147848341967728e-07
Wuhan,sc_pre,Pre-freezing sperm concentration,x10^6/mL,anyhw3,w70_90,16621,2688,17268,7.52,64.0,-0.0414,-0.1102,0.0273,-0.312,-0.829,0.206,-0.49,0.2377356335793788,0.3532072270322201
Wuhan,tsc,Total sperm count,x10^6 per ejaculate,hwp95,w0_9,16621,2688,17268,86.6,210.0,-0.0953,-0.2386,0.0479,-8.257,-20.66,4.146,-3.93,0.191957666605821,0.3055652652092661
